Specification of soil-vegetation components (links soter, terrain component, soil and vegetation properties)																													
For each block: first line Soil IDs, Second line Land use, third line fraction of SVCs in each terrain component																													
Subasin-ID[-],LU-ID[-],TC-ID[-],fraction_rocky[-],nbrSVC[-],Soil-ID(30 values)[-],Vegetation-ID (30 values)[-],fraction (30 values)[-]																													
123	3223	8683	0	8	39	54	64	39	64	39	54	64																	
123	3223	8683	0	8	7103	7103	7103	9103	9103	16007	16007	16007																	
123	3223	8683	0	8	0.09	0.11	0.31	0.12	0.2	0.01	0.06	0.09																	
123	3523	8702	0	10	64	93	51	93	51	64	93	51	64	93															
123	3523	8702	0	10	7103	7103	7153	7153	9103	9103	9103	16007	16007	16007															
123	3523	8702	0	10	0.06	0.08	0.02	0.01	0.01	0.14	0.02	0.07	0.3	0.3															
123	5923	8729	0	9	64	64	96	64	64	64	96	64	64																
123	5923	8729	0	9	7103	7103	7103	8001	9103	9103	9103	9203	16007																
123	5923	8729	0	9	0.01	0.23	0.03	0.1	0.03	0.36	0.04	0.01	0.2																
123	5923	8744	0	11	64	64	96	93	64	64	64	96	64	64	64														
123	5923	8744	0	11	7103	7103	7103	7103	8001	9103	9103	9103	9203	9203	16007														
123	5923	8744	0	11	0.02	0.13	0.01	0.01	0.09	0.08	0.53	0.1	0.01	0.01	0.01														
123	6223	8772	0	15	64	64	105	105	64	64	96	93	105	64	64	64	96	93	105										
123	6223	8772	0	15	7103	7103	7103	8500	9103	9103	9103	9103	9103	9203	16007	16007	16007	16007	16007										
123	6223	8772	0	15	0.1	0.06	0.02	0.01	0.05	0.21	0.01	0.01	0.03	0.01	0.01	0.32	0.01	0.07	0.09										
123	6223	8797	0	14	39	64	64	96	105	39	64	64	96	64	64	96	64	105											
123	6223	8797	0	14	7103	7103	7103	7103	7103	9103	9103	9103	9103	9203	9203	9203	16007	16007											
123	6223	8797	0	14	0.01	0.43	0.04	0.04	0.01	0.01	0.16	0.02	0.07	0.06	0.03	0.08	0.03	0.01											
123	6223	8810	0	8	64	96	64	96	96	64	64	96																	
123	6223	8810	0	8	7103	7103	9103	9103	9103	9203	9203	9203																	
123	6223	8810	0	8	0.05	0.08	0.05	0.1	0.03	0.14	0.01	0.55																	
123	7123	8826	0	10	39	54	64	96	39	64	96	64	96	39															
123	7123	8826	0	10	7103	7103	7103	7103	9103	9103	9103	9203	9203	16007															
123	7123	8826	0	10	0.42	0.01	0.11	0.02	0.04	0.02	0.21	0.02	0.11	0.03															
123	7123	8833	0	5	39	39	96	39	96																				
123	7123	8833	0	5	7103	9103	9103	9203	9203																				
123	7123	8833	0	5	0.34	0.01	0.22	0.01	0.42																				
123	7123	8835	0	2	39	96																							
123	7123	8835	0	2	7103	9203																							
123	7123	8835	0	2	0.26	0.74																							
125	1725	8899	0	8	64	83	96	64	96	64	83	96																	
125	1725	8899	0	8	7103	7103	7103	8001	8001	16007	16007	16007																	
125	1725	8899	0	8	0.07	0.06	0.06	0.01	0.01	0.24	0.51	0.04																	
125	5925	8911	0	5	64	96	64	64	96																				
125	5925	8911	0	5	7103	7103	8001	16007	16007																				
125	5925	8911	0	5	0.71	0.15	0.03	0.08	0.02																				
125	5925	8920	0	6	64	96	64	64	83	96																			
125	5925	8920	0	6	7103	7103	8001	16007	16007	16007																			
125	5925	8920	0	6	0.7	0.13	0.02	0.12	0.01	0.01																			
126	5926	8946	0	6	64	83	96	64	83	64																			
126	5926	8946	0	6	7103	7103	7103	8001	8001	16007																			
126	5926	8946	0	6	0.61	0.01	0.36	0.01	0.01	0.01																			
126	5926	8958	0	4	64	96	64	64																					
