"date" "Dsc" "increase"
"1" 1980 48.5898987088805 0
"2" 1981 48.5898987088805 0
"3" 1982 48.5898987088805 0
"4" 1983 48.5898987088805 0
"5" 1984 48.5898987088805 0
"6" 1985 48.5898987088805 0
"7" 1986 48.5898987088805 0
"8" 1987 48.5898987088805 0
"9" 1988 46.6600695460682 -3.97166739197089
"10" 1989 46.6600695460682 0
"11" 1990 46.6600695460682 0
"12" 1991 46.6600695460682 0
"13" 1992 44.7889306130563 -4.01015033028293
"14" 1993 44.7889306130563 0
"15" 1994 44.7889306130563 0
"16" 1995 44.1618915991717 -1.39998657101637
"17" 1996 43.4024657447838 -1.71964068314987
"18" 1997 43.3864536681446 -0.0368920898028434
"19" 1998 43.211016526082 -0.404359257856201
"20" 1999 43.211016526082 0
"21" 2000 42.1197252991579 -2.52549306787386
"22" 2001 42.1197252991579 0
"23" 2002 42.1197252991579 0
"24" 2003 42.1197252991579 0
"25" 2004 42.1197252991579 0
"26" 2005 42.1197252991579 0
"27" 2006 42.1197252991579 0
"28" 2007 41.949685482836 -0.403705900535199
"29" 2008 41.949685482836 0
"30" 2009 41.949685482836 0
"31" 2010 41.949685482836 0
"32" 2011 41.5262128779752 -1.00947742512648
"33" 2012 41.5262128779752 0
"34" 2013 41.5262128779752 0
"35" 2014 41.5262128779752 0
"36" 2015 41.5262128779752 0
"37" 2016 41.5262128779752 0
"38" 2017 41.5262128779752 0
"39" 2018 41.5262128779752 0
