Subasin-ID.	mean kf-calib-factor
123	7
125	7
126	7
127	1.2
134	1
137	1
138	4.2
139	1
142	2.6
143	1
144	1
145	2.2
146	0.4
147	1
148	1
149	2.2
150	1.8
151	0.8
152	3
153	0.6
154	2.2
155	1
156	6.8
157	1
158	1
159	1
160	1
