"date","PI","WSI","quadrant"
1980-01-01,NA,-0.623474819850497,NA
1980-02-01,NA,-0.584651512804497,NA
1980-03-01,NA,0.101078355060345,NA
1980-04-01,NA,0.335509282698314,NA
1980-05-01,NA,0.272346889000826,NA
1980-06-01,NA,0.247381900978555,NA
1980-07-01,NA,0.20313942366666,NA
1980-08-01,NA,0.127241187806008,NA
1980-09-01,NA,0.0486225469081824,NA
1980-10-01,NA,-0.0301569957486249,NA
1980-11-01,NA,-0.104110293733083,NA
1980-12-01,0.399838046571524,-0.17427148677238,4
1981-01-01,0.459386275267022,-0.243136177953295,4
1981-02-01,-0.410991087664127,-0.302587544213438,3
1981-03-01,-0.168263517652137,-0.157761472627995,3
1981-04-01,-0.351561960536152,0.375610749947949,2
1981-05-01,-0.399630329854297,0.324205721101731,2
1981-06-01,-0.727861716302204,0.252177354486779,2
1981-07-01,-0.682226483939768,0.17590102057182,2
1981-08-01,-0.649535432739614,0.0964209923636437,2
1981-09-01,-0.63945945305003,0.0173020102435978,2
1981-10-01,-0.644747479359731,-0.0610514467167698,3
1981-11-01,-0.647628674245584,-0.133501668124089,3
1981-12-01,-0.408775669329837,-0.195728037718362,3
1982-01-01,-0.475079711701879,-0.234257066752634,3
1982-02-01,-0.0842156167279419,-0.244398056928705,3
1982-03-01,-1.21600780543473,-0.249776879127964,3
1982-04-01,-0.579054433604299,-0.231012137414116,3
1982-05-01,0.0491805625406434,-0.154821377284359,4
1982-06-01,0.0778382217648987,-0.184205269040183,4
1982-07-01,0.0911295390637792,-0.250452658056457,4
1982-08-01,0.157975236994458,-0.320355665451029,4
1982-09-01,0.159235451409903,-0.390092682739954,4
1982-10-01,0.159543692957602,-0.459366744816748,4
1982-11-01,0.217497583450145,-0.528821587840933,4
1982-12-01,-0.0375236662500465,-0.597409148314561,3
1983-01-01,-0.30131157048331,-0.664397261389051,3
1983-02-01,-0.368162259397471,-0.703412273043633,3
1983-03-01,-0.0537712332812192,-0.737112734863291,3
1983-04-01,-0.838778905411206,-0.758058145658963,3
1983-05-01,-1.47324578531301,-0.803857959742903,3
1983-06-01,-1.49769111476412,-0.827645082156985,3
1983-07-01,-1.41091125530014,-0.852146215067196,3
1983-08-01,-1.42418527486955,-0.876636797485443,3
1983-09-01,-1.40295743899046,-0.897822550572559,3
1983-10-01,-1.40393696422539,-0.903549672100099,3
1983-11-01,-1.46796311731771,-0.906959225484072,3
1983-12-01,-1.47059159747004,-0.910149488182789,3
1984-01-01,-1.31808939028622,-0.911678090548246,3
1984-02-01,-1.69027457076643,-0.913573298068018,3
1984-03-01,-1.05830896819794,-0.880769787270053,3
1984-04-01,0.559674604404305,-0.0845170655007287,4
1984-05-01,1.21254252692295,0.956195019403196,1
1984-06-01,1.41756745631117,1,1
1984-07-01,1.46150902234685,1,1
1984-08-01,1.42205505555176,0.973245351332836,1
1984-09-01,1.42113061879811,0.895362219945867,1
1984-10-01,1.43233342544051,0.814248530797284,1
1984-11-01,1.41288283186775,0.73329983960025,1
1984-12-01,1.39555371658825,0.651586158650843,1
1985-01-01,1.73133697264571,0.583142365698858,1
1985-02-01,2.08860254212314,0.624548171678415,1
1985-03-01,2.29838993206088,0.851306143982592,1
1985-04-01,2.69524296777011,1,1
1985-05-01,2.16711046783572,1,1
1985-06-01,2.13806730277776,1,1
1985-07-01,2.14851393816004,1,1
1985-08-01,2.10985694774235,0.999173143881848,1
1985-09-01,2.07443217742296,0.948707567103893,1
1985-10-01,2.07188674412704,0.866718575728879,1
1985-11-01,2.04044436239228,0.78495285779721,1
1985-12-01,2.30994583048904,0.74664086558804,1
1986-01-01,2.13586728640627,0.900839139408837,1
1986-02-01,2.19442465920333,0.916433766039083,1
1986-03-01,2.21542389029328,0.966070145513892,1
1986-04-01,2.0800109317996,1,1
1986-05-01,2.22037514568385,1,1
1986-06-01,2.16088338717337,1,1
1986-07-01,1.95015260336387,1,1
1986-08-01,1.92712710578158,0.978736064153452,1
1986-09-01,1.96353443846138,0.906583750489278,1
1986-10-01,1.96312096561525,0.827616609296609,1
1986-11-01,1.9623470047083,0.746968432729544,1
1986-12-01,1.64199673808591,0.669098769398158,1
1987-01-01,1.75536725625138,0.59431830718704,1
1987-02-01,1.40992300610114,0.525237892031766,1
1987-03-01,1.51507183730071,0.512098850476517,1
1987-04-01,0.778334763644803,0.510001982094524,1
1987-05-01,0.0743511459551604,0.447612749128569,1
1987-06-01,-0.0125275836196417,0.379244660087445,2
1987-07-01,-0.0914346953718225,0.316261199975822,2
1987-08-01,-0.228379116622456,0.242041342225625,2
1987-09-01,-0.31524480643067,0.163692393587341,2
1987-10-01,-0.325472166082051,0.0848608729221656,2
1987-11-01,-0.370722329548419,0.00621828157401624,2
1987-12-01,-0.402481147649408,-0.0702052971731378,3
1988-01-01,-0.450751074505419,-0.138720188914187,3
1988-02-01,-0.324967426586982,-0.199077569622434,3
1988-03-01,-0.879599100635713,-0.238132466563237,3
1988-04-01,-0.386625113005802,-0.102524122423485,3
1988-05-01,0.376505624012777,0.440826977332715,1
1988-06-01,0.334217958605945,0.456765292358942,1
1988-07-01,0.336796268437074,0.399064609135419,1
1988-08-01,0.33628480423712,0.327674848381052,1
1988-09-01,0.333882095449554,0.252300093774724,1
1988-10-01,0.33350566158781,0.175944178114485,1
1988-11-01,0.331889062223888,0.0998348219029773,1
1988-12-01,0.451821064387112,0.0262649276460277,1
1989-01-01,0.55327002665914,-0.0416356074227801,4
1989-02-01,0.36647530915394,-0.103271529579727,4
1989-03-01,0.43923938141956,-0.147592878322016,4
