"date","PI","WSI","quadrant"
1980-01-01,NA,-0.623245395498781,NA
1980-02-01,NA,-0.568521122574253,NA
1980-03-01,NA,0.130399683423667,NA
1980-04-01,NA,0.34605616556319,NA
1980-05-01,NA,0.278783596381294,NA
1980-06-01,NA,0.260634532750364,NA
1980-07-01,NA,0.213425371723318,NA
1980-08-01,NA,0.135123580020552,NA
1980-09-01,NA,0.0564579804288986,NA
1980-10-01,NA,-0.0223694139549878,NA
1980-11-01,NA,-0.0970456637934624,NA
1980-12-01,0.399838046571524,-0.167067106929137,4
1981-01-01,0.459386275267022,-0.232288320444883,4
1981-02-01,-0.410991087664127,-0.287169204961185,3
1981-03-01,-0.168263517652137,-0.116510905845137,3
1981-04-01,-0.351561960536152,0.403620715719342,2
1981-05-01,-0.399630329854297,0.34298551663275,2
1981-06-01,-0.727861716302204,0.269054238434312,2
1981-07-01,-0.682226483939768,0.192777703612661,2
1981-08-01,-0.649535432739614,0.113297690878685,2
1981-09-01,-0.63945945305003,0.0341786996460546,2
1981-10-01,-0.644747479359731,-0.0448857412504282,3
1981-11-01,-0.647628674245584,-0.118395600083281,3
1981-12-01,-0.408775669329837,-0.175960959883944,3
1982-01-01,-0.475079711701879,-0.21025546388346,3
1982-02-01,-0.0842156167279419,-0.217186715445704,3
1982-03-01,-1.21600780543473,-0.223059605810884,3
1982-04-01,-0.579054433604299,-0.201615614241099,3
1982-05-01,0.0491805625406434,-0.128036739618384,4
1982-06-01,0.0778382217648987,-0.161494588548824,4
1982-07-01,0.0911295390637792,-0.230782861356813,4
1982-08-01,0.157975236994458,-0.300749777195704,4
1982-09-01,0.159235451409903,-0.370704572308974,4
1982-10-01,0.159543692957602,-0.440002185730692,4
1982-11-01,0.217497583450145,-0.50945541170102,4
1982-12-01,-0.0375236662500465,-0.578376675867905,3
1983-01-01,-0.30131157048331,-0.645991105881405,3
1983-02-01,-0.368162259397471,-0.678236303738735,3
1983-03-01,-0.0537712332812192,-0.709668494610223,3
1983-04-01,-0.838778905411206,-0.728914979471164,3
1983-05-01,-1.47324578531301,-0.787578473131712,3
1983-06-01,-1.49769111476412,-0.820522871871747,3
1983-07-01,-1.41091125530014,-0.845034032117024,3
1983-08-01,-1.42418527486955,-0.869753550160182,3
1983-09-01,-1.40295743899046,-0.893182028232355,3
1983-10-01,-1.40393696422539,-0.902766698232959,3
1983-11-01,-1.46796311731771,-0.906176252508849,3
1983-12-01,-1.47059159747004,-0.909366515605166,3
1984-01-01,-1.31808939028622,-0.909657812254438,3
1984-02-01,-1.69027457076643,-0.911249064162485,3
1984-03-01,-1.05830896819794,-0.86751753766799,3
1984-04-01,0.559674604404305,-0.0249470614199459,4
1984-05-01,1.21254252692295,0.965892068424976,1
1984-06-01,1.41756745631117,1,1
1984-07-01,1.46150902234685,1,1
1984-08-01,1.42205505555176,0.965378900122907,1
1984-09-01,1.42113061879811,0.885841402456798,1
1984-10-01,1.43233342544051,0.804727725171768,1
1984-11-01,1.41288283186775,0.723779022111181,1
1984-12-01,1.39555371658825,0.642065342709194,1
1985-01-01,1.73133697264571,0.578194093207874,1
1985-02-01,2.08860254212314,0.629253259569912,1
1985-03-01,2.29838993206088,0.857725295883621,1
1985-04-01,2.69524296777011,1,1
1985-05-01,2.16711046783572,1,1
1985-06-01,2.13806730277776,1,1
1985-07-01,2.14851393816004,1,1
1985-08-01,2.10985694774235,0.999911730007455,1
1985-09-01,2.07443217742296,0.95540700129086,1
1985-10-01,2.07188674412704,0.873313932340674,1
1985-11-01,2.04044436239228,0.791548245013533,1
1985-12-01,2.30994583048904,0.762135599443896,1
1986-01-01,2.13586728640627,0.919132918700006,1
1986-02-01,2.19442465920333,0.9365931150174,1
1986-03-01,2.21542389029328,0.980957638250287,1
1986-04-01,2.0800109317996,1,1
1986-05-01,2.22037514568385,1,1
1986-06-01,2.16088338717337,1,1
1986-07-01,1.95015260336387,1,1
1986-08-01,1.92712710578158,0.978571753944108,1
1986-09-01,1.96353443846138,0.912854098188632,1
1986-10-01,1.96312096561525,0.831756901613911,1
1986-11-01,1.9623470047083,0.751110659837602,1
1986-12-01,1.64199673808591,0.673732157401624,1
1987-01-01,1.75536725625138,0.598951700348572,1
1987-02-01,1.40992300610114,0.530003153743196,1
1987-03-01,1.51507183730071,0.529253424351716,1
1987-04-01,0.778334763644803,0.524094480949407,1
1987-05-01,0.0743511459551604,0.457841607704862,1
1987-06-01,-0.0125275836196417,0.391077904309806,2
1987-07-01,-0.0914346953718225,0.331462032358808,2
1987-08-01,-0.228379116622456,0.254156523785537,2
1987-09-01,-0.31524480643067,0.175485742744118,2
1987-10-01,-0.325472166082051,0.0966541988676432,2
1987-11-01,-0.370722329548419,0.018011614740787,2
1987-12-01,-0.402481147649408,-0.0590470684854224,3
1988-01-01,-0.450751074505419,-0.12905493163547,3
1988-02-01,-0.324967426586982,-0.190263321286265,3
1988-03-01,-0.879599100635713,-0.220882313715218,3
1988-04-01,-0.386625113005802,-0.0413222775765147,3
1988-05-01,0.376505624012777,0.529256467610969,1
1988-06-01,0.334217958605945,0.532978858879867,1
1988-07-01,0.336796268437074,0.472047371683021,1
1988-08-01,0.33628480423712,0.392836042634644,1
1988-09-01,0.333882095449554,0.314178153320841,1
1988-10-01,0.33350566158781,0.235287511756765,1
1988-11-01,0.331889062223888,0.156642581053508,1
1988-12-01,0.451821064387112,0.080702125042816,1
1989-01-01,0.55327002665914,0.0112714753279201,1
1989-02-01,0.36647530915394,-0.0549962387793343,4
1989-03-01,0.43923938141956,-0.0943589856339788,4
