"date","PI","WSI","quadrant"
1980-01-01,NA,-0.624036717696601,NA
1980-02-01,NA,-0.569419519696741,NA
1980-03-01,NA,0.124500010719107,NA
1980-04-01,NA,0.339795315927545,NA
1980-05-01,NA,0.273482127863634,NA
1980-06-01,NA,0.258248645263377,NA
1980-07-01,NA,0.212268654671475,NA
1980-08-01,NA,0.133966857810643,NA
1980-09-01,NA,0.055301263377056,NA
1980-10-01,NA,-0.0235261310068304,NA
1980-11-01,NA,-0.0981653693108474,NA
1980-12-01,0.399838046571524,-0.167540493643086,4
1981-01-01,0.459386275267022,-0.225521458120932,4
1981-02-01,-0.410991087664127,-0.268742121888106,3
1981-03-01,-0.168263517652137,-0.0549538899478149,3
1981-04-01,-0.351561960536152,0.53043740195711,2
1981-05-01,-0.399630329854297,0.467562479256916,2
1981-06-01,-0.727861716302204,0.392294471955028,2
1981-07-01,-0.682226483939768,0.316014327174548,2
1981-08-01,-0.649535432739614,0.236534314440571,2
1981-09-01,-0.63945945305003,0.157415324755361,2
1981-10-01,-0.644747479359731,0.0779678597650662,2
1981-11-01,-0.647628674245584,-0.00131766445971268,3
1981-12-01,-0.408775669329837,-0.0579556164493965,3
1982-01-01,-0.475079711701879,-0.0799034319679233,3
1982-02-01,-0.0842156167279419,-0.0833192340501472,3
1982-03-01,-1.21600780543473,-0.0842369970381415,3
1982-04-01,-0.579054433604299,-0.051904522340204,3
1982-05-01,0.0491805625406434,0.0560404805061353,1
1982-06-01,0.0778382217648987,0.0296343505309182,1
1982-07-01,0.0911295390637792,-0.0458012155306159,4
1982-08-01,0.157975236994458,-0.115595426406883,4
1982-09-01,0.159235451409903,-0.185428445887987,4
1982-10-01,0.159543692957602,-0.256071840261127,4
1982-11-01,0.217497583450145,-0.326916783676869,4
1982-12-01,-0.0375236662500465,-0.396406905039189,3
1983-01-01,-0.30131157048331,-0.466340597771554,3
1983-02-01,-0.368162259397471,-0.479509987686268,3
1983-03-01,-0.0537712332812192,-0.496223163748464,3
1983-04-01,-0.838778905411206,-0.500154900520508,3
1983-05-01,-1.47324578531301,-0.564488132981403,3
1983-06-01,-1.49769111476412,-0.630912019987508,3
1983-07-01,-1.41091125530014,-0.696215847675848,3
1983-08-01,-1.42418527486955,-0.76245118607322,3
1983-09-01,-1.40295743899046,-0.810522580720383,3
1983-10-01,-1.40393696422539,-0.835611911587516,3
1983-11-01,-1.46796311731771,-0.860520490360192,3
1983-12-01,-1.47059159747004,-0.884477336181016,3
1984-01-01,-1.31808939028622,-0.897402120771292,3
1984-02-01,-1.69027457076643,-0.901873952917358,3
1984-03-01,-1.05830896819794,-0.83602088275473,3
1984-04-01,0.559674604404305,0.0646337965438268,1
1984-05-01,1.21254252692295,0.988894840079789,1
1984-06-01,1.41756745631117,1,1
1984-07-01,1.46150902234685,1,1
1984-08-01,1.42205505555176,0.967831006266245,1
1984-09-01,1.42113061879811,0.88855487986675,1
1984-10-01,1.43233342544051,0.807441213757531,1
1984-11-01,1.41288283186775,0.726492472871122,1
1984-12-01,1.39555371658825,0.644778820978824,1
1985-01-01,1.73133697264571,0.588443516995426,1
1985-02-01,2.08860254212314,0.663923133755688,1
1985-03-01,2.29838993206088,0.905390929378816,1
1985-04-01,2.69524296777011,1,1
1985-05-01,2.16711046783572,1,1
1985-06-01,2.13806730277776,1,1
1985-07-01,2.14851393816004,1,1
1985-08-01,2.10985694774235,0.999998578952671,1
1985-09-01,2.07443217742296,0.958067914220279,1
1985-10-01,2.07188674412704,0.875974860228486,1
1985-11-01,2.04044436239228,0.794209147282948,1
1985-12-01,2.30994583048904,0.7811554694445,1
1986-01-01,2.13586728640627,0.999281736656525,1
1986-02-01,2.19442465920333,1,1
1986-03-01,2.21542389029328,1,1
1986-04-01,2.0800109317996,1,1
1986-05-01,2.22037514568385,1,1
1986-06-01,2.16088338717337,1,1
1986-07-01,1.95015260336387,1,1
1986-08-01,1.92712710578158,0.978977275976708,1
1986-09-01,1.96353443846138,0.921657433437435,1
1986-10-01,1.96312096561525,0.840815240152324,1
1986-11-01,1.9623470047083,0.762964872288153,1
1986-12-01,1.64199673808591,0.692985729080615,1
1987-01-01,1.75536725625138,0.618376143297536,1
1987-02-01,1.40992300610114,0.55002575390381,1
1987-03-01,1.51507183730071,0.571967264975519,1
1987-04-01,0.778334763644803,0.585125968269831,1
1987-05-01,0.0743511459551604,0.521019365477222,1
1987-06-01,-0.0125275836196417,0.45426245130127,2
1987-07-01,-0.0914346953718225,0.39562593765993,2
1987-08-01,-0.228379116622456,0.318303170196047,2
1987-09-01,-0.31524480643067,0.239632339121382,2
1987-10-01,-0.325472166082051,0.16080082722492,2
1987-11-01,-0.370722329548419,0.0821582430980637,2
1987-12-01,-0.402481147649408,0.004354141887127,2
1988-01-01,-0.450751074505419,-0.0679084617275493,3
1988-02-01,-0.324967426586982,-0.12296563613259,3
1988-03-01,-0.879599100635713,-0.138176177953295,3
1988-04-01,-0.386625113005802,0.0777471520299813,2
1988-05-01,0.376505624012777,0.703621383731942,1
1988-06-01,0.334217958605945,0.71281604996877,1
1988-07-01,0.336796268437074,0.653702889887369,1
1988-08-01,0.33628480423712,0.573126829280087,1
1988-09-01,0.333882095449554,0.491150798750781,1
1988-10-01,0.33350566158781,0.409719720013701,1
1988-11-01,0.331889062223888,0.33091668373933,1
1988-12-01,0.451821064387112,0.255734685821362,1
1989-01-01,0.55327002665914,0.19265698422357,1
1989-02-01,0.36647530915394,0.129545519764433,1
1989-03-01,0.43923938141956,0.0964153339646592,1
