"date","PI","WSI","quadrant"
1980-01-01,NA,-0.624264436017811,NA
1980-02-01,NA,-0.585627596545263,NA
1980-03-01,NA,0.0952806431464206,NA
1980-04-01,NA,0.329257323506142,NA
1980-05-01,NA,0.266156850678004,NA
1980-06-01,NA,0.244407594586717,NA
1980-07-01,NA,0.201848880578671,NA
1980-08-01,NA,0.125950644718019,NA
1980-09-01,NA,0.0473320041640641,NA
1980-10-01,NA,-0.0314475646269469,NA
1980-11-01,NA,-0.105400996377264,NA
1980-12-01,0.399838046571524,-0.175321019201709,4
1981-01-01,0.459386275267022,-0.238673124780883,4
1981-02-01,-0.410991087664127,-0.285468268046757,3
1981-03-01,-0.168263517652137,-0.0975351476295058,3
1981-04-01,-0.351561960536152,0.505433418779929,2
1981-05-01,-0.399630329854297,0.451528913138966,2
1981-06-01,-0.727861716302204,0.378686587549448,2
1981-07-01,-0.682226483939768,0.302411597912595,2
1981-08-01,-0.649535432739614,0.222931543914086,2
1981-09-01,-0.63945945305003,0.143812562481782,2
1981-10-01,-0.644747479359731,0.0643650943966473,2
1981-11-01,-0.647628674245584,-0.01492057597335,3
1981-12-01,-0.408775669329837,-0.0763101113417018,3
1982-01-01,-0.475079711701879,-0.100023079123935,3
1982-02-01,-0.0842156167279419,-0.106782849290622,3
1982-03-01,-1.21600780543473,-0.106896687634744,3
1982-04-01,-0.579054433604299,-0.0773621846346034,3
1982-05-01,0.0491805625406434,0.033781329249864,1
1982-06-01,0.0778382217648987,0.0113108853633146,1
1982-07-01,0.0911295390637792,-0.0604449870443876,4
1982-08-01,0.157975236994458,-0.130209575144567,4
1982-09-01,0.159235451409903,-0.200160113262544,4
1982-10-01,0.159543692957602,-0.27080350007052,4
1982-11-01,0.217497583450145,-0.34156167595253,4
1982-12-01,-0.0375236662500465,-0.410833576111704,3
1983-01-01,-0.30131157048331,-0.480768065765348,3
1983-02-01,-0.368162259397471,-0.50181208173463,3
1983-03-01,-0.0537712332812192,-0.519878639721142,3
1983-04-01,-0.838778905411206,-0.524852408577972,3
1983-05-01,-1.47324578531301,-0.584846305897524,3
1983-06-01,-1.49769111476412,-0.648617919133875,3
1983-07-01,-1.41091125530014,-0.713921612540549,3
1983-08-01,-1.42418527486955,-0.779163047611372,3
1983-09-01,-1.40295743899046,-0.817362946824901,3
1983-10-01,-1.40393696422539,-0.842322767302694,3
1983-11-01,-1.46796311731771,-0.867075500811992,3
1983-12-01,-1.47059159747004,-0.890804680945377,3
1984-01-01,-1.31808939028622,-0.900373993995688,3
1984-02-01,-1.69027457076643,-0.900250484826294,3
1984-03-01,-1.05830896819794,-0.846328332211723,3
1984-04-01,0.559674604404305,0.00521758634186967,1
1984-05-01,1.21254252692295,0.986449109306683,1
1984-06-01,1.41756745631117,1,1
1984-07-01,1.46150902234685,1,1
1984-08-01,1.42205505555176,0.973510898913985,1
1984-09-01,1.42113061879811,0.896055919716844,1
1984-10-01,1.43233342544051,0.814942218532772,1
1984-11-01,1.41288283186775,0.73399352338122,1
1984-12-01,1.39555371658825,0.652279851544398,1
1985-01-01,1.73133697264571,0.590492105015011,1
1985-02-01,2.08860254212314,0.656812572142411,1
1985-03-01,2.29838993206088,0.898246243839536,1
1985-04-01,2.69524296777011,1,1
1985-05-01,2.16711046783572,1,1
1985-06-01,2.13806730277776,1,1
1985-07-01,2.14851393816004,1,1
1985-08-01,2.10985694774235,0.999506120287723,1
1985-09-01,2.07443217742296,0.951284111430356,1
1985-10-01,2.07188674412704,0.869295380709637,1
1985-11-01,2.04044436239228,0.787529700603789,1
1985-12-01,2.30994583048904,0.764081639942778,1
1986-01-01,2.13586728640627,0.960608885253168,1
1986-02-01,2.19442465920333,0.980552988667797,1
1986-03-01,2.21542389029328,0.995452898712498,1
1986-04-01,2.0800109317996,1,1
1986-05-01,2.22037514568385,1,1
1986-06-01,2.16088338717337,1,1
1986-07-01,1.95015260336387,1,1
1986-08-01,1.92712710578158,0.978749929036288,1
1986-09-01,1.96353443846138,0.912817315844264,1
1986-10-01,1.96312096561525,0.835893031371522,1
1986-11-01,1.9623470047083,0.758392897772226,1
