date,volume
2012-01-02,5906480.68
2012-01-03,5879381.05
2012-01-04,5852281.42
2012-01-05,5852281.42
2012-01-06,5825181.79
2012-01-07,5798082.16
2012-01-08,5770982.53
2012-01-09,5743882.9
2012-01-10,5743882.9
2012-01-11,5716783.27
2012-01-12,5689683.64
2012-01-13,5662584.01
2012-01-14,5635484.38
2012-01-15,5608384.75
2012-01-16,5581285.12
2012-01-17,5581285.12
2012-01-18,5527085.86
2012-01-19,5499986.23
2012-01-20,5472886.6
2012-01-21,5445786.97
2012-01-22,5418687.34
2012-01-23,5391587.71
2012-01-24,5391587.71
2012-01-25,5418687.34
2012-01-26,5391587.71
2012-01-27,5364488.08
2012-01-28,5337388.45
2012-01-29,5310288.82
2012-01-30,5283189.19
2012-01-31,5256089.56
2012-02-01,5256089.56
2012-02-02,5228989.93
2012-02-03,5201890.3
2012-02-04,5174790.67
2012-02-05,5147691.04
2012-02-06,5147691.04
2012-02-07,5120591.41
2012-02-08,5093491.78
2012-02-09,5066392.15
2012-02-10,5039292.52
2012-02-11,5039292.52
2012-02-12,5012192.89
2012-02-13,4985093.26
2012-02-14,4957993.63
2012-02-15,4957993.63
2012-02-16,5066392.15
2012-02-17,5120591.41
2012-02-18,5147691.04
2012-02-19,5960679.94
2012-02-20,6583971.43
2012-02-21,6692369.95
2012-02-22,6692369.95
2012-02-23,6692369.95
2012-02-24,6665270.32
2012-02-25,6665270.32
2012-02-26,6665270.32
2012-02-27,6665270.32
2012-02-28,6665270.32
2012-02-29,6692369.95
2012-03-01,6719469.58
2012-03-02,6692369.95
2012-03-03,6665270.32
2012-03-04,6692369.95
2012-03-05,6692369.95
2012-03-06,6665270.32
2012-03-07,6638170.69
2012-03-08,6611071.06
2012-03-09,6611071.06
2012-03-10,6583971.43
2012-03-11,6611071.06
2012-03-12,6611071.06
2012-03-13,6583971.43
2012-03-14,6556871.8
2012-03-15,6529772.17
2012-03-16,6556871.8
2012-03-17,6529772.17
2012-03-18,6502672.54
2012-03-19,6475572.91
2012-03-20,6502672.54
2012-03-21,6475572.91
2012-03-22,6448473.28
2012-03-23,6448473.28
2012-03-24,6421373.65
2012-03-25,6394274.02
2012-03-26,6394274.02
2012-03-27,6394274.02
2012-03-28,6475572.91
2012-03-29,6475572.91
2012-03-30,6448473.28
2012-03-31,6421373.65
2012-04-01,6394274.02
2012-04-02,6394274.02
2012-04-03,6367174.39
2012-04-04,6340074.76
2012-04-05,6340074.76
2012-04-06,6312975.13
2012-04-07,6285875.5
2012-04-08,6285875.5
2012-04-09,6258775.87
2012-04-10,6231676.24
2012-04-11,6231676.24
2012-04-12,6204576.61
2012-04-13,6177476.98
2012-04-14,6150377.35
2012-04-15,6150377.35
2012-04-16,6123277.72
2012-04-17,6231676.24
2012-04-18,6231676.24
2012-04-19,6204576.61
2012-04-20,6204576.61
2012-04-21,6177476.98
2012-04-22,6150377.35
2012-04-23,6150377.35
2012-04-24,6123277.72
2012-04-25,6096178.09
2012-04-26,6069078.46
2012-04-27,6069078.46
2012-04-28,6041978.83
2012-04-29,6014879.2
2012-04-30,6014879.2
2012-05-01,5987779.57
2012-05-02,5960679.94
2012-05-03,5933580.31
2012-05-04,5906480.68
2012-05-05,5879381.05
2012-05-06,5879381.05
2012-05-07,5852281.42
2012-05-08,5825181.79
2012-05-09,5798082.16
2012-05-10,5798082.16
2012-05-11,5770982.53
2012-05-12,5743882.9
2012-05-13,5743882.9
2012-05-14,5716783.27
2012-05-15,5689683.64
2012-05-16,5689683.64
2012-05-17,5662584.01
2012-05-18,5635484.38
2012-05-19,5608384.75
2012-05-20,5608384.75
2012-05-21,5581285.12
2012-05-22,5554185.49
2012-05-23,5554185.49
2012-05-24,5554185.49
2012-05-25,5527085.86
2012-05-26,5527085.86
2012-05-27,5499986.23
2012-05-28,5472886.6
2012-05-29,5472886.6
2012-05-30,5445786.97
2012-05-31,5418687.34
2012-06-01,5391587.71
2012-06-02,5391587.71
2012-06-03,5364488.08
2012-06-04,5337388.45
2012-06-05,5337388.45
2012-06-06,5310288.82
2012-06-07,5310288.82
2012-06-08,5283189.19
2012-06-09,5283189.19
2012-06-10,5256089.56
2012-06-11,5228989.93
2012-06-12,5201890.3
2012-06-13,5201890.3
2012-06-14,5174790.67
2012-06-15,5147691.04
2012-06-16,5147691.04
2012-06-17,5120591.41
2012-06-18,5093491.78
2012-06-19,5093491.78
2012-06-20,5066392.15
2012-06-21,5039292.52
2012-06-22,5039292.52
2012-06-23,5012192.89
2012-06-24,4985093.26
2012-06-25,4985093.26
2012-06-26,4985093.26
2012-06-27,4957993.63
2012-06-28,4930894.0
2012-06-29,4910557.78
2012-06-30,4890221.56
2012-07-01,4869885.34
2012-07-02,4849549.12
2012-07-03,4829212.9
2012-07-04,4829212.9
2012-07-05,4829212.9
2012-07-06,4808876.68
2012-07-07,4788540.46
2012-07-08,4788540.46
2012-07-09,4768204.24
2012-07-10,4747868.02
2012-07-11,4727531.8
2012-07-12,4727531.8
2012-07-13,4707195.58
2012-07-14,4686859.36
2012-07-15,4646186.92
2012-07-16,4625850.7
2012-07-17,4605514.48
2012-07-18,4585178.26
2012-07-19,4564842.04
2012-07-20,4544505.82
2012-07-21,4524169.6
2012-07-22,4483497.16
2012-07-23,4463160.94
2012-07-24,4442824.72
2012-07-25,4442824.72
2012-07-26,4422488.5
2012-07-27,4381816.06
2012-07-28,4361479.84
2012-07-29,4341143.62
2012-07-30,4320807.4
2012-07-31,4300471.18
2012-08-01,4280134.96
2012-08-02,4259798.74
2012-08-03,4239462.52
2012-08-04,4198790.08
2012-08-05,4178453.86
2012-08-06,4158117.64
2012-08-07,4158117.64
2012-08-08,4137781.42
2012-08-09,4117445.2
2012-08-10,4117445.2
2012-08-11,4097108.98
2012-08-12,4076772.76
2012-08-13,4056436.54
2012-08-14,4036100.32
2012-08-15,4036100.32
2012-08-16,4015764.1
2012-08-17,3995427.88
2012-08-18,3975091.66
2012-08-19,3954755.44
2012-08-20,3954755.44
2012-08-21,3934419.22
2012-08-22,3914083.0
2012-08-23,3893746.78
2012-08-24,3873410.56
2012-08-25,3853074.34
2012-08-26,3832738.12
2012-08-27,3812401.9
2012-08-28,3792065.68
2012-08-29,3771729.46
2012-08-30,3751393.24
2012-08-31,3751393.24
2012-09-01,3731057.02
2012-09-02,3710720.8
2012-09-03,3690384.58
2012-09-04,3670048.36
2012-09-05,3649712.14
2012-09-06,3629375.92
2012-09-07,3609039.7
2012-09-08,3588703.48
2012-09-09,3568367.26
2012-09-10,3548031.04
2012-09-11,3527694.82
2012-09-12,3507358.6
2012-09-13,3507358.6
2012-09-14,3487022.38
2012-09-15,3466686.16
2012-09-16,3446349.94
2012-09-17,3426013.72
2012-09-18,3385341.28
2012-09-19,3365005.06
2012-09-20,3344668.84
2012-09-21,3303996.4
2012-09-22,3283660.18
2012-09-23,3263323.96
2012-09-24,3222651.52
2012-09-25,3181979.08
2012-09-26,3181979.08
2012-09-27,3161642.86
2012-09-28,3141306.64
2012-09-29,3120970.42
2012-09-30,3100634.2
2012-10-01,3080297.98
2012-10-02,3059961.76
2012-10-03,3039625.54
2012-10-04,3019289.32
2012-10-05,2998953.1
2012-10-06,2978616.88
2012-10-07,2958280.66
2012-10-08,2937944.44
2012-10-09,2917608.22
2012-10-10,2869378.0
2012-10-11,2841484.0
2012-10-12,2813590.0
2012-10-13,2799643.0
2012-10-14,2785696.0
2012-10-15,2771749.0
2012-10-16,2757802.0
2012-10-17,2743855.0
2012-10-18,2729908.0
2012-10-19,2729908.0
2012-10-20,2715961.0
2012-10-21,2702014.0
2012-10-22,2688067.0
2012-10-23,2674120.0
2012-10-24,2660173.0
2012-10-25,2646226.0
2012-10-26,2632279.0
2012-10-27,2618332.0
2012-10-28,2604385.0
2012-10-29,2590438.0
2012-10-30,2576491.0
2012-10-31,2576491.0
2012-11-01,2548597.0
2012-11-02,2534650.0
2012-11-03,2506756.0
2012-11-04,2492809.0
2012-11-05,2478862.0
2012-11-06,2450968.0
2012-11-07,2423074.0
2012-11-08,2395180.0
2012-11-09,2395180.0
2012-11-10,2381233.0
2012-11-11,2367286.0
2012-11-12,2339392.0
2012-11-13,2325445.0
2012-11-14,2311498.0
2012-11-15,2311498.0
2012-11-16,2297551.0
2012-11-17,2283604.0
2012-11-18,2269657.0
2012-11-19,2255710.0
2012-11-20,2241763.0
2012-11-21,2227816.0
