Subasin-ID.	mean kf-calib-factor
123	3.6
125	5
126	1.4
127	0.4
134	1
137	1
138	4.2
139	1
142	1
143	1
144	1
145	1.8
146	0.2
147	1
148	1
149	2
150	1.6
151	1
152	1
153	0.6
154	2.4
155	1
156	5
157	1
158	1
159	1
160	1
